date,day_of_week,visitors,total_cups,total_sales_yen,pale_ale_bottles,pale_ale_sales,lager_bottles,lager_sales,ipa_bottles,ipa_sales,white_beer_bottles,white_beer_sales,dark_beer_bottles,dark_beer_sales,fruit_beer_bottles,fruit_beer_sales,weather_code,precipitation_sum,temperature_2m_mean,temperature_2m_max,temperature_2m_min,weather
2024-11-08,金,15,30,28700,7,7000,8,6400,4,3600,5,4500,6,7200,0,0,3.0,0.0,10.0,14.6,6.2,cloudy
2024-11-09,土,14,28,27100,7,7000,6,4800,5,4500,4,3600,6,7200,0,0,3.0,0.0,10.3,16.1,5.0,cloudy
2024-11-11,月,11,22,21100,6,6000,4,3200,4,3600,3,2700,3,3600,2,2000,63.0,6.2999997,15.8,21.3,12.9,rainy
2024-11-12,火,17,31,30500,8,8000,9,7200,5,4500,4,3600,6,7200,0,0,2.0,0.0,15.0,19.9,10.2,sunny
2024-11-13,水,14,26,24600,8,8000,6,4800,5,4500,3,2700,3,3600,1,1000,3.0,0.0,15.5,18.9,13.2,cloudy
2024-11-14,木,21,41,39200,9,9000,8,6400,7,6300,5,4500,5,6000,7,7000,51.0,0.4,14.7,18.1,11.7,rainy
2024-11-15,金,18,30,28600,7,7000,6,4800,5,4500,3,2700,3,3600,6,6000,63.0,8.200001,16.0,18.6,13.7,rainy
2024-11-16,土,10,15,14200,4,4000,3,2400,4,3600,2,1800,2,2400,0,0,51.0,0.3,16.0,18.7,13.2,rainy
2024-11-18,月,18,26,24900,5,5000,5,4000,3,2700,4,3600,3,3600,6,6000,53.0,2.5999997,12.4,17.3,9.3,rainy
2024-11-19,火,19,32,31300,9,9000,7,5600,4,3600,3,2700,7,8400,2,2000,3.0,0.0,8.4,11.1,6.2,cloudy
2024-11-20,水,7,8,7600,2,2000,2,1600,1,900,1,900,1,1200,1,1000,53.0,2.4000003,6.1,7.7,4.8,rainy
2024-11-21,木,12,23,21700,5,5000,6,4800,4,3600,3,2700,3,3600,2,2000,61.0,7.1000004,9.9,12.8,7.9,rainy
2024-11-22,金,19,33,31900,8,8000,6,4800,5,4500,4,3600,5,6000,5,5000,3.0,0.0,11.2,16.6,6.2,cloudy
2024-11-23,土,5,8,7800,2,2000,2,1600,1,900,1,900,2,2400,0,0,3.0,0.0,10.5,14.4,7.4,cloudy
2024-11-25,月,20,26,25700,7,7000,4,3200,3,2700,4,3600,6,7200,2,2000,0.0,0.0,8.4,12.3,4.8,sunny
2024-11-26,火,10,17,16400,3,3000,4,3200,2,1800,2,1800,3,3600,3,3000,63.0,5.7,8.6,13.5,3.7,rainy
2024-11-27,水,5,6,5800,2,2000,1,800,1,900,1,900,1,1200,0,0,65.0,39.200005,13.5,18.5,9.0,rainy
2024-11-28,木,16,29,27900,7,7000,7,5600,5,4500,4,3600,6,7200,0,0,0.0,0.0,11.2,15.7,7.3,sunny
2024-11-29,金,23,52,50900,13,13000,9,7200,8,7200,7,6300,11,13200,4,4000,3.0,0.0,8.8,13.8,5.1,cloudy
2024-11-30,土,17,31,30400,6,6000,5,4000,4,3600,4,3600,6,7200,6,6000,3.0,0.0,9.0,14.5,4.6,cloudy
2024-12-02,月,12,21,20100,6,6000,5,4000,3,2700,2,1800,3,3600,2,2000,1.0,0.0,10.3,15.2,6.4,sunny
2024-12-03,火,24,29,28400,6,6000,5,4000,5,4500,3,2700,6,7200,4,4000,1.0,0.0,10.2,15.1,5.5,sunny
2024-12-04,水,17,33,31800,7,7000,6,4800,7,6300,3,2700,5,6000,5,5000,3.0,0.0,10.9,15.5,7.7,cloudy
2024-12-05,木,12,15,14600,4,4000,3,2400,2,1800,2,1800,3,3600,1,1000,53.0,1.2,10.5,14.3,7.7,rainy
2024-12-06,金,27,49,47100,10,10000,11,8800,8,7200,7,6300,9,10800,4,4000,3.0,0.0,9.2,14.7,4.1,cloudy
2024-12-07,土,9,16,15700,3,3000,3,2400,2,1800,1,900,3,3600,4,4000,61.0,1.7,7.0,10.3,4.5,rainy
2024-12-09,月,10,15,15800,5,5000,3,2400,3,2700,1,900,4,4800,0,0,0.0,0.0,6.4,10.8,3.0,sunny
2024-12-10,火,18,30,29100,8,8000,5,4000,7,6300,2,1800,5,6000,3,3000,3.0,0.0,7.7,12.4,4.6,cloudy
2024-12-11,水,6,11,10700,3,3000,2,1600,2,1800,1,900,2,2400,1,1000,3.0,0.0,7.0,11.8,3.5,cloudy
2024-12-12,木,12,20,19400,5,5000,4,3200,2,1800,2,1800,3,3600,4,4000,0.0,0.0,5.2,9.2,2.2,sunny
2024-12-13,金,17,31,30600,9,9000,6,4800,3,2700,3,2700,7,8400,3,3000,3.0,0.0,3.9,8.2,0.5,cloudy
2024-12-14,土,7,9,8800,2,2000,2,1600,1,900,1,900,2,2400,1,1000,3.0,0.0,5.4,10.4,1.7,cloudy
2024-12-16,月,14,22,21700,5,5000,3,2400,3,2700,2,1800,4,4800,5,5000,0.0,0.0,5.7,11.1,1.3,sunny
2024-12-17,火,14,22,21200,6,6000,4,3200,5,4500,3,2700,4,4800,0,0,0.0,0.0,6.5,11.8,1.4,sunny
2024-12-18,水,13,18,17700,3,3000,3,2400,3,2700,2,1800,4,4800,3,3000,71.0,0.2,5.9,11.1,1.6,rainy
2024-12-19,木,15,21,20300,6,6000,5,4000,3,2700,2,1800,4,4800,1,1000,73.0,2.8,4.5,7.5,2.8,rainy
2024-12-20,金,18,33,31800,7,7000,6,4800,7,6300,5,4500,6,7200,2,2000,3.0,0.0,5.3,9.9,1.1,cloudy
2024-12-21,土,10,15,14600,2,2000,3,2400,2,1800,2,1800,3,3600,3,3000,3.0,0.0,7.5,14.2,1.3,cloudy
2024-12-23,月,13,21,20500,5,5000,3,2400,3,2700,2,1800,3,3600,5,5000,1.0,0.0,5.2,10.0,1.7,sunny
2024-12-24,火,22,26,24900,6,6000,5,4000,6,5400,3,2700,4,4800,2,2000,1.0,0.0,5.1,10.6,0.9,sunny
2024-12-25,水,20,26,25400,7,7000,6,4800,4,3600,2,1800,6,7200,1,1000,3.0,0.0,6.1,10.0,2.8,cloudy
2024-12-26,木,8,9,8800,2,2000,2,1600,1,900,1,900,2,2400,1,1000,3.0,0.0,7.5,13.2,2.9,cloudy
2024-12-27,金,15,31,30400,6,6000,6,4800,6,5400,4,3600,8,9600,1,1000,3.0,0.0,6.4,9.8,3.7,cloudy
2024-12-28,土,11,18,16900,4,4000,5,4000,3,2700,2,1800,2,2400,2,2000,3.0,0.0,4.5,9.4,-0.3,cloudy
2024-12-30,月,16,19,18800,4,4000,3,2400,4,3600,2,1800,5,6000,1,1000,3.0,0.0,5.6,9.4,2.7,cloudy
2024-12-31,火,17,37,35900,11,11000,7,5600,8,7200,3,2700,7,8400,1,1000,3.0,0.0,6.5,12.7,0.8,cloudy
2025-01-01,水,15,16,15300,3,3000,4,3200,3,2700,2,1800,3,3600,1,1000,0.0,0.0,7.1,11.0,4.1,sunny
2025-01-02,木,19,30,29000,6,6000,6,4800,5,4500,3,2700,5,6000,5,5000,3.0,0.0,6.8,12.9,1.6,cloudy
2025-01-03,金,16,24,23200,6,6000,4,3200,4,3600,2,1800,3,3600,5,5000,51.0,2.1999998,3.9,6.1,2.4,rainy
2025-01-04,土,9,13,12600,3,3000,2,1600,2,1800,2,1800,2,2400,2,2000,3.0,0.0,3.9,8.1,0.5,cloudy
2025-01-06,月,5,6,5800,1,1000,1,800,1,900,1,900,1,1200,1,1000,63.0,26.599998,3.5,8.3,0.2,rainy
2025-01-07,火,14,16,15400,4,4000,4,3200,2,1800,2,1800,3,3600,1,1000,3.0,0.0,7.4,11.1,4.2,cloudy
2025-01-08,水,8,10,9800,2,2000,2,1600,1,900,1,900,2,2400,2,2000,3.0,0.0,5.1,9.4,1.5,cloudy
2025-01-09,木,13,14,13400,4,4000,3,2400,2,1800,2,1800,2,2400,1,1000,2.0,0.0,4.7,10.5,-0.5,sunny
2025-01-10,金,18,28,27500,7,7000,4,3200,4,3600,3,2700,5,6000,5,5000,3.0,0.0,2.9,7.5,-1.8,cloudy
2025-01-11,土,11,20,19400,6,6000,4,3200,2,1800,2,1800,3,3600,3,3000,1.0,0.0,3.5,9.3,-0.9,sunny
2025-01-13,月,10,17,16500,4,4000,3,2400,3,2700,2,1800,3,3600,2,2000,3.0,0.0,5.3,10.9,0.9,cloudy
2025-01-14,火,16,26,25200,6,6000,4,3200,4,3600,4,3600,4,4800,4,4000,2.0,0.0,4.5,10.5,-1.3,sunny
2025-01-15,水,8,12,11700,3,3000,2,1600,2,1800,1,900,2,2400,2,2000,51.0,0.1,5.0,12.0,-0.4,rainy
2025-01-16,木,13,15,14300,3,3000,4,3200,3,2700,2,1800,3,3600,0,0,3.0,0.0,3.3,6.1,0.9,cloudy
2025-01-17,金,14,29,28200,6,6000,6,4800,3,2700,3,2700,5,6000,6,6000,0.0,0.0,3.0,6.5,0.2,sunny
2025-01-18,土,7,12,11700,3,3000,2,1600,2,1800,1,900,2,2400,2,2000,1.0,0.0,3.9,7.9,0.9,sunny
2025-01-20,月,10,17,16600,3,3000,3,2400,4,3600,2,1800,4,4800,1,1000,51.0,0.2,8.2,13.0,4.5,rainy
2025-01-21,火,15,23,22300,5,5000,4,3200,4,3600,3,2700,4,4800,3,3000,51.0,0.2,8.5,11.7,5.4,rainy
2025-01-22,水,9,11,10700,4,4000,2,1600,2,1800,1,900,2,2400,0,0,1.0,0.0,6.8,12.2,2.3,sunny
2025-01-23,木,18,26,25600,5,5000,4,3200,2,1800,4,3600,5,6000,6,6000,2.0,0.0,6.4,11.9,1.3,sunny
2025-01-24,金,20,35,34000,7,7000,6,4800,5,4500,5,4500,6,7200,6,6000,61.0,2.6999998,7.8,13.0,3.6,rainy
2025-01-25,土,13,25,24500,5,5000,4,3200,4,3600,3,2700,5,6000,4,4000,51.0,1.2,5.5,6.3,4.4,rainy
2025-01-27,月,14,20,20400,5,5000,5,4000,4,3600,2,1800,5,6000,0,0,3.0,0.0,5.1,8.7,0.3,cloudy
2025-01-28,火,11,13,12700,3,3000,3,2400,2,1800,1,900,3,3600,1,1000,3.0,0.0,6.8,11.6,2.0,cloudy
2025-01-29,水,7,7,6800,2,2000,1,800,1,900,1,900,1,1200,1,1000,3.0,0.0,6.8,12.3,1.8,cloudy
2025-01-30,木,9,13,12600,3,3000,2,1600,2,1800,2,1800,2,2400,2,2000,3.0,0.0,5.6,11.1,-0.1,cloudy
2025-01-31,金,13,20,19100,4,4000,5,4000,3,2700,2,1800,3,3600,3,3000,3.0,0.0,6.2,12.6,1.8,cloudy
2025-02-01,土,9,12,11700,3,3000,2,1600,2,1800,1,900,2,2400,2,2000,51.0,0.1,6.6,11.3,1.2,rainy
2025-02-03,月,18,22,21700,6,6000,5,4000,3,2700,2,1800,6,7200,0,0,3.0,0.0,5.5,8.7,2.9,cloudy
2025-02-04,火,10,12,11500,3,3000,3,2400,2,1800,1,900,2,2400,1,1000,51.0,0.1,4.6,9.0,1.4,rainy
2025-02-05,水,8,9,8800,2,2000,2,1600,1,900,1,900,2,2400,1,1000,71.0,0.3,2.9,7.7,-0.9,rainy
2025-02-06,木,7,12,11700,3,3000,2,1600,2,1800,1,900,2,2400,2,2000,3.0,0.0,3.3,8.3,-0.8,cloudy
2025-02-07,金,14,23,22300,6,6000,5,4000,2,1800,3,2700,4,4800,3,3000,3.0,0.0,3.1,7.4,-1.6,cloudy
2025-02-08,土,10,16,15500,3,3000,2,1600,3,2700,2,1800,2,2400,4,4000,3.0,0.0,3.3,7.7,-0.6,cloudy
2025-02-10,月,20,38,36200,8,8000,9,7200,6,5400,4,3600,5,6000,6,6000,3.0,0.0,4.7,9.8,-0.5,cloudy
2025-02-11,火,9,10,9800,2,2000,2,1600,1,900,1,900,2,2400,2,2000,3.0,0.0,4.4,9.0,0.4,cloudy
2025-02-12,水,12,19,18300,5,5000,3,2400,3,2700,2,1800,2,2400,4,4000,51.0,0.1,5.7,11.9,-0.4,rainy
2025-02-13,木,11,20,19400,5,5000,4,3200,4,3600,2,1800,4,4800,1,1000,51.0,0.7,6.4,11.0,3.0,rainy
2025-02-14,金,13,27,26100,6,6000,6,4800,5,4500,2,1800,5,6000,3,3000,3.0,0.0,7.1,13.5,1.5,cloudy
2025-02-15,土,10,17,16400,4,4000,3,2400,4,3600,2,1800,3,3600,1,1000,2.0,0.0,8.9,13.3,4.0,sunny
2025-02-17,月,12,18,17500,3,3000,3,2400,3,2700,2,1800,3,3600,4,4000,51.0,0.5,9.1,14.7,4.3,rainy
2025-02-18,火,10,11,10700,3,3000,2,1600,2,1800,1,900,2,2400,1,1000,3.0,0.0,4.4,8.8,0.7,cloudy
2025-02-19,水,8,8,7800,2,2000,2,1600,1,900,1,900,2,2400,0,0,1.0,0.0,3.2,7.4,0.1,sunny
2025-02-20,木,11,14,13800,3,3000,2,1600,2,1800,2,1800,3,3600,2,2000,3.0,0.0,4.4,9.7,0.4,cloudy
2025-02-21,金,13,25,24300,5,5000,5,4000,5,4500,2,1800,5,6000,3,3000,3.0,0.0,4.7,9.5,0.0,cloudy
2025-02-22,土,9,17,17000,4,4000,3,2400,2,1800,2,1800,5,6000,1,1000,3.0,0.0,4.1,7.9,1.5,cloudy
2025-02-24,月,10,12,13000,3,3000,2,1600,2,1800,2,1800,4,4800,0,0,51.0,0.1,4.3,8.4,0.3,rainy
2025-02-25,火,12,18,17100,5,5000,5,4000,3,2700,2,1800,3,3600,0,0,1.0,0.0,7.3,11.8,2.1,sunny
2025-02-26,水,16,26,25500,7,7000,4,3200,5,4500,2,1800,5,6000,3,3000,3.0,0.0,9.9,16.9,3.4,cloudy
2025-02-27,木,23,32,31200,9,9000,5,4000,6,5400,4,3600,6,7200,2,2000,3.0,0.0,9.9,15.0,4.6,cloudy
2025-02-28,金,22,43,41100,10,10000,11,8800,7,6300,4,3600,7,8400,4,4000,3.0,0.0,10.6,15.8,4.1,cloudy
2025-03-01,土,10,20,19300,3,3000,4,3200,3,2700,2,1800,3,3600,5,5000,3.0,0.0,13.1,19.5,6.7,cloudy
2025-03-03,月,8,11,10700,3,3000,2,1600,2,1800,1,900,2,2400,1,1000,75.0,29.500004,6.0,14.3,1.3,rainy
2025-03-04,火,5,6,5800,2,2000,1,800,1,900,1,900,1,1200,0,0,73.0,6.7,2.0,5.5,-0.1,rainy
2025-03-05,水,4,6,5800,1,1000,1,800,1,900,1,900,1,1200,1,1000,73.0,17.000002,4.8,8.0,0.5,rainy
2025-03-06,木,9,11,10700,4,4000,2,1600,2,1800,1,900,2,2400,0,0,51.0,1.2000002,8.1,10.2,5.6,rainy
2025-03-07,金,16,24,22700,7,7000,6,4800,4,3600,3,2700,3,3600,1,1000,51.0,0.1,5.3,9.0,2.3,rainy
2025-03-08,土,8,12,11700,3,3000,2,1600,2,1800,1,900,2,2400,2,2000,71.0,5.7000003,2.5,5.4,0.9,rainy
2025-03-10,月,15,20,19600,4,4000,3,2400,4,3600,2,1800,4,4800,3,3000,3.0,0.0,7.3,12.8,1.3,cloudy
2025-03-11,火,12,20,19600,6,6000,3,2400,3,2700,3,2700,4,4800,1,1000,53.0,1.7,8.7,11.9,4.3,rainy
2025-03-12,水,6,11,10700,3,3000,2,1600,2,1800,1,900,2,2400,1,1000,65.0,15.8,10.6,14.4,6.5,rainy
2025-03-13,木,20,40,39200,8,8000,7,5600,6,5400,4,3600,8,9600,7,7000,3.0,0.0,13.8,18.9,8.3,cloudy
2025-03-14,金,11,22,21600,4,4000,4,3200,3,2700,3,2700,5,6000,3,3000,3.0,0.0,10.9,16.6,6.4,cloudy
2025-03-15,土,7,8,8000,2,2000,1,800,1,900,1,900,2,2400,1,1000,53.0,1.3000001,7.4,11.3,4.3,rainy
2025-03-17,月,17,24,23300,7,7000,6,4800,2,1800,3,2700,5,6000,1,1000,51.0,0.6,8.7,14.6,4.9,rainy
2025-03-18,火,5,8,7600,2,2000,2,1600,1,900,1,900,1,1200,1,1000,51.0,0.8,6.9,10.7,2.7,rainy
2025-03-19,水,6,10,9700,2,2000,2,1600,2,1800,1,900,2,2400,1,1000,75.0,29.199999,4.6,8.5,1.4,rainy
2025-03-20,木,7,7,6800,2,2000,1,800,1,900,1,900,1,1200,1,1000,3.0,0.0,6.9,12.0,1.8,cloudy
2025-03-21,金,18,43,42000,14,14000,8,6400,6,5400,4,3600,8,9600,3,3000,1.0,0.0,9.2,15.3,3.0,sunny
2025-03-22,土,14,20,19200,5,5000,3,2400,4,3600,2,1800,2,2400,4,4000,0.0,0.0,13.4,20.5,4.5,sunny
2025-03-24,月,7,10,9700,2,2000,2,1600,2,1800,1,900,2,2400,1,1000,51.0,0.2,13.6,18.4,8.8,rainy
2025-03-25,火,6,11,10200,3,3000,3,2400,2,1800,2,1800,1,1200,0,0,51.0,0.1,16.2,22.4,10.1,rainy
2025-03-26,水,10,14,13400,5,5000,3,2400,2,1800,2,1800,2,2400,0,0,3.0,0.0,18.4,23.9,14.7,cloudy
2025-03-27,木,10,14,13400,2,2000,3,2400,2,1800,2,1800,2,2400,3,3000,3.0,0.0,16.7,21.5,10.8,cloudy
2025-03-28,金,14,28,26900,6,6000,7,5600,3,2700,4,3600,5,6000,3,3000,63.0,11.200001,19.1,24.7,14.4,rainy
2025-03-29,土,6,8,7600,2,2000,2,1600,1,900,1,900,1,1200,1,1000,61.0,11.900001,7.6,12.9,4.4,rainy
2025-03-31,月,9,15,14800,4,4000,2,1600,2,1800,2,1800,3,3600,2,2000,53.0,2.2,5.9,7.5,4.2,rainy
2025-04-01,火,5,6,5800,1,1000,1,800,1,900,1,900,1,1200,1,1000,73.0,29.0,4.7,6.0,3.0,rainy
